Institution,Log Number,Fiscal Year,Award,Recipient Type,Program,Program Categories,City,State,Issue Areas,The main body text
"State University of New York, Research Foundation",LL-02-99-0003-99,1999,"$154,324.00",Library,National Leadership Grants for Libraries,Research and Demonstration,Amherst,NY,,
Walter Elwood Museum,IC-02-07-0050-07,2007,"$13,501.00",,,Training in Conservation,Amsterdam,NY,,"The Walter Elwood Museum of the Mohawk Valley will use its grant to conduct an environmental survey of the museum's buildings and facilities; to develop comprehensive housekeeping, integrated pest management and disaster plans; and to conduct hands-on workshops for staff, interns, and volunteers on collections care."
Walter Elwood Museum,MA-02-05-0378-05,2005,"$25,000.00",,Museums for America,Supporting Lifelong Learning,Amsterdam,NY,,
Walter Elwood Museum,IM-01-01-0167-01,2001,"$1,775.00",,Museum Assessment Program,Institutional Assessment,Amsterdam,NY,,
"Erie 2-Chautauqua, Cattaraugus BOCES",LG-46-12-0564-12,2012,"$25,000.00",,Sparks! Ignition Grants for Libraries,,Angola,NY,,"New York's Erie 2-Chautauqua, Cattaraugus BOCES will partner with four school library systems (Buffalo City, Catt-All, Erie 1 BOCES, and Orleans/Niagara) to develop a web-based, searchable resource for high-quality, K-12 nonfiction resources. Using this system, educators will find resources that can be used in conjunction with one another to teach a variety of literary elements. Educators across the country will have access to this program, but it will be helpful especially for those in states that have adopted the Common Core State Standards. These standards require teachers and librarians to increase the use of informational texts and to bring social studies and science into reading instruction. This project will better prepare teachers and librarians to meet the changing requirements of reading instruction in their states."
Waterman Conservation Education Center,IG-00-97-0722-97,1997,"$36,000.00",,General Operating Support,,Apalachin,NY,,
Westchester Library System,CL-00-03-0021-03,2003,"$99,350.00",,Congressionally-Directed Grants,,Ardsley,NY,,
Museum of the Moving Image,MA-10-18-0358-18,2018,"$195,402.00",Museum,Museums for America,MFA-Learning  Experiences,Astoria,NY,,"The Museum of the Moving Image will reimagine its core exhibition through a planning process that reflects its mission, addresses an evolving understanding of its subject matter, and is culturally and physically inclusive. The current exhibition, first opened in 1988, documents the technologies and crafts behind the commercial U.S. film and television industries. The project team will produce a new, fully accessible exhibition design to reflect best practices and innovations in the field; be more accessible to a broader audience; and provide greater access to the museum's permanent collection. Staff and board members will work with scholars, community liaisons, an accessibility consultant, and an exhibition designer to define a narrative scope and interpretive approach for the new exhibition, and identify associated artifacts, interactive experiences, media clips, and other elements. The preliminary design will incorporate the perspectives and needs of diverse learners to more effectively serve people with disabilities and cultural barriers."
American Museum of the Moving Image,MA-10-16-0267-16,2016,"$149,585.00",Museum,Museums for America,MFA-Learning  Experiences,Astoria,NY,,"The American Museum of the Moving Image will develop a new programming initiative that offers engaging, experiential learning and cultural programming for children, ages four to 12, and their caregivers. The initiative will feature drop-in activities, gallery activities, workshops, family tours, artist-led programs and performances, screenings and response activities, large-scale day-long events, family-member only events, and exclusive family hours in the galleries. The project will create programs specifically targeted to families year round; offer more activities for families with younger children; and present programs that are appealing to a wide range of ethnic and cultural groups. The project aims to grow attendance to a sustained annual level of 250,000, triple family memberships, and grow repeat visitors by eight percent."
American Museum of the Moving Image,MA-10-14-0186-14,2014,"$149,674.00",Museum,Museums for America,Learning  Experiences (NLG-Museums),Astoria,NY,"Collections, Community","American Museum of the Moving Image will plan, design, fabricate, develop, and install ""Jim Henson: The Exhibition,"" a long-term exhibition showcasing the work of the legendary puppeteer, performer, director, and producer. Organized into sections based on the type of film or television programming, including Sesame Street, the Muppet Show, and Saturday Night Live sketches, the exhibition will feature Henson's artifacts, sketches, storyboards, and moving image content. The museum will also develop and implement related education and public programs and conduct preliminary planning for a traveling exhibition. Through this project, audiences will have the opportunity to learn about Henson's work, cultural impact, and creative innovations."
